vernacular,scientific,size,wingspan,order,family,map_url,image_url,audio_url
Hirondelle de fenêtre,Delichon urbicum,14 cm,26 à 29 cm.,Passériformes,Hirundinidés,https://www.oiseaux.net/maps/images/hirondelle.de.fenetre.200.w.jpg,"['https://www.oiseaux.net/photos/yann.ponthieux/images/id/hirondelle.de.fenetre.yapo.1p.152.h.jpg', 'https://www.oiseaux.net/photos/didier.collin/images/id/hirondelle.de.fenetre.dico.8p.152.h.jpg', 'https://www.oiseaux.net/photos/rene.dumoulin/images/id/hirondelle.de.fenetre.redu.10p.152.h.jpg', 'https://www.oiseaux.net/photos/yann.cambon/images/id/hirondelle.de.fenetre.yaca.12p.152.h.jpg', 'https://www.oiseaux.net/photos/christophe.mercier/images/id/hirondelle.de.fenetre.chme.3p.152.h.jpg', 'https://www.oiseaux.net/photos/didier.collin/images/hirondelle.de.fenetre.dico.5p.152.h.jpg', 'https://www.oiseaux.net/photos/didier.collin/images/hirondelle.de.fenetre.dico.6p.152.h.jpg', 'https://www.oiseaux.net/photos/didier.collin/images/hirondelle.de.fenetre.dico.2p.152.h.jpg', 'https://www.oiseaux.net/photos/didier.collin/images/hirondelle.de.fenetre.dico.11p.152.h.jpg', 'https://www.oiseaux.net/photos/julien.daubignard/images/hirondelle.de.fenetre.juda.23p.152.h.jpg', 'https://www.oiseaux.net/photos/jean-marie.poncelet/images/hirondelle.de.fenetre.jmpo.52p.152.h.jpg', 'https://www.oiseaux.net/photos/claude.daussin/images/hirondelle.de.fenetre.clda.1p.152.h.jpg', 'https://www.oiseaux.net/photos/wille.romain/images/hirondelle.de.fenetre.wiro.1p.152.h.jpg', 'https://www.oiseaux.net/photos/wille.romain/images/hirondelle.de.fenetre.wiro.2p.152.h.jpg', 'https://www.oiseaux.net/photos/wille.romain/images/hirondelle.de.fenetre.wiro.3p.152.h.jpg', 'https://www.oiseaux.net/photos/adrien.cazin/images/hirondelle.de.fenetre.adca.1p.152.h.jpg', 'https://www.oiseaux.net/photos/antoine.coulondre/images/hirondelle.de.fenetre.anco.1p.152.h.jpg', 'https://www.oiseaux.net/photos/andrea.moneti/images/hirondelle.de.fenetre.anmo.4p.152.h.jpg']",https://www.oiseaux.net/chant/jean.roche/hirondelle.de.fenetre.1.mp3
Fou brun,Sula leucogaster,74 cm,132 à 150 cm.,Suliformes,Sulidés,https://www.oiseaux.net/maps/images/fou.brun.200.w.jpg,"['https://www.oiseaux.net/photos/catherine.et.bernard.lanneluc/images/id/fou.brun.cala.2p.152.h.jpg', 'https://www.oiseaux.net/photos/francois.granja/images/id/fou.brun.frgr.2p.152.h.jpg', 'https://www.oiseaux.net/photos/sebastien.palud/images/id/fou.brun.sepa.1p.152.h.jpg', 'https://www.oiseaux.net/photos/jean-claude.jamoulle/images/id/fou.brun.jcja.6p.152.h.jpg', 'https://www.oiseaux.net/photos/loic.epelboin/images/id/fou.brun.loep.5p.152.h.jpg', 'https://www.oiseaux.net/photos/nicolas.defaux/images/id/fou.brun.nide.1p.152.h.jpg', 'https://www.oiseaux.net/photos/patrick.ingremeau/images/id/fou.brun.pain.1p.152.h.jpg', 'https://www.oiseaux.net/photos/lars.petersson/images/id/fou.brun.lape.6p.152.h.jpg', 'https://www.oiseaux.net/photos/alfredo.colon/images/id/fou.brun.alca.5p.152.h.jpg', 'https://www.oiseaux.net/photos/jean-claude.jamoulle/images/id/fou.brun.jcja.1p.152.h.jpg', 'https://www.oiseaux.net/photos/guillaume.feuillet/images/id/fou.brun.fegu.1p.152.h.jpg', 'https://www.oiseaux.net/photos/francois.sanz/images/id/fou.brun.frsa.5p.152.h.jpg', 'https://www.oiseaux.net/photos/dominique.goumand/images/fou.brun.dogo.1p.152.h.jpg', 'https://www.oiseaux.net/photos/dominique.goumand/images/fou.brun.dogo.2p.152.h.jpg', 'https://www.oiseaux.net/photos/dominique.goumand/images/fou.brun.dogo.3p.152.h.jpg', 'https://www.oiseaux.net/photos/dominique.goumand/images/fou.brun.dogo.4p.152.h.jpg', 'https://www.oiseaux.net/photos/dominique.goumand/images/fou.brun.dogo.8p.152.h.jpg']",https://www.oiseaux.net/chant/manuel.grosselet/fou.brun.335797.mp3
Corbeau brun,Corvus ruficollis,56 cm,-,Passériformes,Corvidés,,"['https://www.oiseaux.net/photos/lars.petersson/images/id/corbeau.brun.lape.3p.152.h.jpg', 'https://www.oiseaux.net/photos/lars.petersson/images/id/corbeau.brun.lape.4p.152.h.jpg', 'https://www.oiseaux.net/photos/gerard.vigo/images/id/corbeau.brun.gevi.1p.152.h.jpg', 'https://www.oiseaux.net/photos/jean-michel.fenerole/images/id/corbeau.brun.jefe.2p.152.h.jpg', 'https://www.oiseaux.net/photos/antoine.coulondre/images/corbeau.brun.anco.4p.152.h.jpg', 'https://www.oiseaux.net/photos/antoine.coulondre/images/corbeau.brun.anco.3p.152.h.jpg', 'https://www.oiseaux.net/photos/antoine.coulondre/images/corbeau.brun.anco.1p.152.h.jpg', 'https://www.oiseaux.net/photos/dominique.goumand/images/corbeau.brun.dogo.3p.152.h.jpg', 'https://www.oiseaux.net/photos/michel.carre/images/corbeau.brun.mica.1p.152.h.jpg', 'https://www.oiseaux.net/photos/herve.michel/images/corbeau.brun.hemi.4p.152.h.jpg', 'https://www.oiseaux.net/photos/herve.michel/images/corbeau.brun.hemi.3p.152.h.jpg', 'https://www.oiseaux.net/photos/herve.michel/images/corbeau.brun.hemi.2p.152.h.jpg', 'https://www.oiseaux.net/photos/herve.michel/images/corbeau.brun.hemi.1p.152.h.jpg', 'https://www.oiseaux.net/photos/jean-michel.fenerole/images/corbeau.brun.jefe.1p.152.h.jpg', 'https://www.oiseaux.net/photos/jean-michel.fenerole/images/corbeau.brun.jefe.3p.152.h.jpg', 'https://www.oiseaux.net/photos/didier.bats/images/corbeau.brun.diba.1p.152.h.jpg', 'https://www.oiseaux.net/photos/stephane.merle/images/corbeau.brun.stme.1p.152.h.jpg']",
Martin-pêcheur pie,Ceryle rudis,25 cm,45 à 47 cm.,Coraciiformes,Alcédinidés,https://www.oiseaux.net/maps/images/martin-pecheur.pie.200.w.jpg,"['https://www.oiseaux.net/photos/dominique.goumand/images/martin-pecheur.pie.dogo.8p.152.h.jpg', 'https://www.oiseaux.net/photos/dominique.goumand/images/martin-pecheur.pie.dogo.6p.152.h.jpg', 'https://www.oiseaux.net/photos/dominique.goumand/images/martin-pecheur.pie.dogo.7p.152.h.jpg', 'https://www.oiseaux.net/photos/dominique.goumand/images/martin-pecheur.pie.dogo.3p.152.h.jpg', 'https://www.oiseaux.net/photos/dominique.goumand/images/martin-pecheur.pie.dogo.4p.152.h.jpg', 'https://www.oiseaux.net/photos/dietmar.petrausch/images/martin-pecheur.pie.dpet.1p.152.h.jpg', 'https://www.oiseaux.net/photos/dominique.goumand/images/martin-pecheur.pie.dogo.5p.152.h.jpg', 'https://www.oiseaux.net/photos/stephane.merle/images/martin-pecheur.pie.stme.1p.152.h.jpg', 'https://www.oiseaux.net/photos/catherine.et.bernard.lanneluc/images/martin-pecheur.pie.cala.5p.152.h.jpg', 'https://www.oiseaux.net/photos/jean-claude.jamoulle/images/martin-pecheur.pie.jcja.2p.152.h.jpg', 'https://www.oiseaux.net/photos/dan.stefanescu/images/martin-pecheur.pie.dast.1p.152.h.jpg', 'https://www.oiseaux.net/photos/thierry.helsens/images/martin-pecheur.pie.thhe.8p.152.h.jpg', 'https://www.oiseaux.net/photos/michel.et.fabienne.vernaudon/images/martin-pecheur.pie.mver.2p.152.h.jpg', 'https://www.oiseaux.net/photos/gerard.vigo/images/martin-pecheur.pie.gevi.2p.152.h.jpg', 'https://www.oiseaux.net/photos/thomas.armand/images/martin-pecheur.pie.thar.1p.152.h.jpg', 'https://www.oiseaux.net/photos/thomas.armand/images/martin-pecheur.pie.thar.2p.152.h.jpg', 'https://www.oiseaux.net/photos/xavier.michel/images/martin-pecheur.pie.xami.5p.152.h.jpg']",https://www.oiseaux.net/chant/franck.bruneliere/martin-pecheur.pie.1.mp3
Rhynchée peinte,Rostratula benghalensis,28 cm,50 à 55 cm.,Charadriiformes,Rostratulidés,,"['https://www.oiseaux.net/photos/thierry.helsens/images/id/rhynchee.peinte.thhe.3p.152.h.jpg', 'https://www.oiseaux.net/photos/antoine.coulondre/images/rhynchee.peinte.anco.1p.152.h.jpg', 'https://www.oiseaux.net/photos/stanislas.gallen/images/rhynchee.peinte.stan.2p.152.h.jpg', 'https://www.oiseaux.net/photos/claude.daussin/images/rhynchee.peinte.clda.3p.152.h.jpg', 'https://www.oiseaux.net/photos/jacques.buvat/images/rhynchee.peinte.jabu.4p.152.h.jpg', 'https://www.oiseaux.net/photos/jacques.buvat/images/rhynchee.peinte.jabu.5p.152.h.jpg', 'https://www.oiseaux.net/photos/cyril.laffargue/images/rhynchee.peinte.cyla.1p.152.h.jpg', 'https://www.oiseaux.net/photos/franck.ambrosini/images/rhynchee.peinte.fram.1p.152.h.jpg', 'https://www.oiseaux.net/photos/stephane.merle/images/rhynchee.peinte.stme.2p.152.h.jpg', 'https://www.oiseaux.net/photos/stephane.merle/images/rhynchee.peinte.stme.4p.152.h.jpg', 'https://www.oiseaux.net/photos/francois.jeanne/images/rhynchee.peinte.frje.1p.152.h.jpg', 'https://www.oiseaux.net/photos/nathalie.santa.maria/images/rhynchee.peinte.nasa.1p.152.h.jpg', 'https://www.oiseaux.net/photos/nathalie.santa.maria/images/rhynchee.peinte.nasa.2p.152.h.jpg', 'https://www.oiseaux.net/photos/nathalie.santa.maria/images/rhynchee.peinte.nasa.3p.152.h.jpg']",
Bruant du Sahara,Emberiza sahari,14 cm,-,Passériformes,Emberizidés,,"['https://www.oiseaux.net/photos/michel.carre/images/id/bruant.du.sahara.mica.3p.152.h.jpg', 'https://www.oiseaux.net/photos/florent.lecourtier/images/id/bruant.du.sahara.flle.2p.152.h.jpg', 'https://www.oiseaux.net/photos/ghislain.riou/images/id/bruant.du.sahara.ghri.1p.152.h.jpg', 'https://www.oiseaux.net/photos/herve.michel/images/id/bruant.du.sahara.hemi.5p.152.h.jpg', 'https://www.oiseaux.net/photos/michel.carre/images/id/bruant.du.sahara.mica.2p.152.h.jpg', 'https://www.oiseaux.net/photos/robert.balestra/images/id/bruant.du.sahara.roba.1p.152.h.jpg', 'https://www.oiseaux.net/photos/gerard.vigo/images/id/bruant.du.sahara.gevi.3p.152.h.jpg', 'https://www.oiseaux.net/photos/didier.buysse/images/id/bruant.du.sahara.dibu.2p.152.h.jpg', 'https://www.oiseaux.net/photos/jean-claude.jamoulle/images/id/bruant.du.sahara.jcja.10p.152.h.jpg', 'https://www.oiseaux.net/photos/paul.van.giersbergen/images/id/bruant.du.sahara.pava.1p.152.h.jpg', 'https://www.oiseaux.net/photos/jean-claude.jamoulle/images/id/bruant.du.sahara.jcja.7p.152.h.jpg', 'https://www.oiseaux.net/photos/herve.michel/images/bruant.du.sahara.hemi.2p.152.h.jpg', 'https://www.oiseaux.net/photos/martial.tillement/images/bruant.du.sahara.mati.1p.152.h.jpg', 'https://www.oiseaux.net/photos/martial.tillement/images/bruant.du.sahara.mati.2p.152.h.jpg']",https://www.oiseaux.net/chant/fernand.deroussen/bruant.du.sahara.132740.mp3
Héron vert,Butorides virescens,48 cm,62 à 70 cm.,Pélécaniformes,Ardéidés,https://www.oiseaux.net/maps/images/heron.vert.200.w.jpg,"['https://www.oiseaux.net/photos/michel.lamarche/images/id/heron.vert.mila.18p.152.h.jpg', 'https://www.oiseaux.net/photos/loic.epelboin/images/id/heron.vert.loep.4p.152.h.jpg', 'https://www.oiseaux.net/photos/patrick.l.hoir/images/id/heron.vert.palh.4p.152.h.jpg', 'https://www.oiseaux.net/photos/francoise.folliard/images/id/heron.vert.frfo.2p.152.h.jpg', 'https://www.oiseaux.net/photos/regine.le.courtois.nivart/images/id/heron.vert.rlcn.8p.152.h.jpg', 'https://www.oiseaux.net/photos/francois.granja/images/id/heron.vert.frgr.2p.152.h.jpg', 'https://www.oiseaux.net/photos/yvon.toupin/images/id/heron.vert.yvto.3p.152.h.jpg', 'https://www.oiseaux.net/photos/aurelien.audevard/images/id/heron.vert.auau.1p.152.h.jpg', 'https://www.oiseaux.net/photos/michel.lamarche/images/id/heron.vert.mila.20p.152.h.jpg', 'https://www.oiseaux.net/photos/sylvain.uriot/images/heron.vert.syur.1p.152.h.jpg', 'https://www.oiseaux.net/photos/sylvain.uriot/images/heron.vert.syur.2p.152.h.jpg', 'https://www.oiseaux.net/photos/xavier.michel/images/heron.vert.xami.2p.152.h.jpg', 'https://www.oiseaux.net/photos/thomas.armand/images/heron.vert.thar.1p.152.h.jpg', 'https://www.oiseaux.net/photos/jean-michel.fenerole/images/heron.vert.jefe.4p.152.h.jpg', 'https://www.oiseaux.net/photos/olivier.morlot/images/heron.vert.olmo.2p.152.h.jpg', 'https://www.oiseaux.net/photos/yann.ponthieux/images/heron.vert.yapo.2p.152.h.jpg', 'https://www.oiseaux.net/photos/didier.rabosee/images/heron.vert.dira.1p.152.h.jpg', 'https://www.oiseaux.net/photos/xavier.michel/images/heron.vert.xami.1p.152.h.jpg']",https://www.oiseaux.net/chant/olivier.swift/heron.vert.789228.mp3
Paruline d'Audubon,Setophaga auduboni,cm,-,Passériformes,Parulidés,,"['https://www.oiseaux.net/photos/regine.le.courtois.nivart/images/id/paruline.d.audubon.rlcn.5p.152.h.jpg', 'https://www.oiseaux.net/photos/sebastien.palud/images/id/paruline.d.audubon.sepa.5p.152.h.jpg', 'https://www.oiseaux.net/photos/sebastien.palud/images/id/paruline.d.audubon.sepa.3p.152.h.jpg', 'https://www.oiseaux.net/photos/vincent.perrin/images/id/paruline.d.audubon.vipe.1p.152.h.jpg', 'https://www.oiseaux.net/photos/stephane.merle/images/paruline.d.audubon.stme.3p.152.h.jpg', 'https://www.oiseaux.net/photos/florent.lecourtier/images/paruline.d.audubon.flle.1p.152.h.jpg', 'https://www.oiseaux.net/photos/stephane.merle/images/paruline.d.audubon.stme.1p.152.h.jpg', 'https://www.oiseaux.net/photos/stephane.merle/images/paruline.d.audubon.stme.2p.152.h.jpg', 'https://www.oiseaux.net/photos/regine.le.courtois.nivart/images/paruline.d.audubon.rlcn.2p.152.h.jpg', 'https://www.oiseaux.net/photos/catherine.et.bernard.lanneluc/images/paruline.d.audubon.cala.2p.152.h.jpg', 'https://www.oiseaux.net/photos/sebastien.palud/images/paruline.d.audubon.sepa.1p.152.h.jpg', 'https://www.oiseaux.net/photos/sebastien.palud/images/paruline.d.audubon.sepa.2p.152.h.jpg', 'https://www.oiseaux.net/photos/sebastien.palud/images/paruline.d.audubon.sepa.4p.152.h.jpg', 'https://www.oiseaux.net/photos/samuel.marlin/images/paruline.d.audubon.sama.1p.152.h.jpg', 'https://www.oiseaux.net/photos/regine.le.courtois.nivart/images/paruline.d.audubon.rlcn.1p.152.h.jpg', 'https://www.oiseaux.net/photos/regine.le.courtois.nivart/images/paruline.d.audubon.rlcn.6p.152.h.jpg']",https://www.oiseaux.net/chant/manuel.grosselet/paruline.d.audubon.531650.mp3
Pouillot du Caucase,Phylloscopus nitidus,11 cm,-,Passériformes,Phylloscopidés,,"['https://www.oiseaux.net/photos/didier.buysse/images/pouillot.du.caucase.dibu.2p.152.h.jpg', 'https://www.oiseaux.net/photos/frederic.pelsy/images/pouillot.du.caucase.frpe.1p.152.h.jpg', 'https://www.oiseaux.net/photos/frederic.pelsy/images/pouillot.du.caucase.frpe.2p.152.h.jpg', 'https://www.oiseaux.net/photos/frederic.pelsy/images/pouillot.du.caucase.frpe.3p.152.h.jpg']",https://www.oiseaux.net/chant/fernand.deroussen/pouillot.du.caucase.139514.mp3
Bondrée orientale,Pernis ptilorhynchus,68 cm,135 à 150 cm.,Accipitriformes,Accipitridés,,"['https://www.oiseaux.net/photos/jean-claude.jamoulle/images/bondree.orientale.jcja.3p.152.h.jpg', 'https://www.oiseaux.net/photos/stanislas.gallen/images/bondree.orientale.stan.2p.152.h.jpg', 'https://www.oiseaux.net/photos/stanislas.gallen/images/bondree.orientale.stan.1p.152.h.jpg', 'https://www.oiseaux.net/photos/thierry.becret/images/bondree.orientale.thbe.2p.152.h.jpg', 'https://www.oiseaux.net/photos/catherine.et.bernard.lanneluc/images/bondree.orientale.cala.1p.152.h.jpg', 'https://www.oiseaux.net/photos/jean-michel.fenerole/images/bondree.orientale.jefe.1p.152.h.jpg', 'https://www.oiseaux.net/photos/jean-michel.fenerole/images/bondree.orientale.jefe.2p.152.h.jpg', 'https://www.oiseaux.net/photos/jean-michel.fenerole/images/bondree.orientale.jefe.3p.152.h.jpg', 'https://www.oiseaux.net/photos/thierry.becret/images/bondree.orientale.thbe.4p.152.h.jpg', 'https://www.oiseaux.net/photos/thierry.becret/images/bondree.orientale.thbe.3p.152.h.jpg', 'https://www.oiseaux.net/photos/didier.buysse/images/bondree.orientale.dibu.1p.152.h.jpg', 'https://www.oiseaux.net/photos/samuel.marlin/images/bondree.orientale.sama.2p.152.h.jpg', 'https://www.oiseaux.net/photos/samuel.marlin/images/bondree.orientale.sama.1p.152.h.jpg', 'https://www.oiseaux.net/photos/frederic.pelsy/images/bondree.orientale.frpe.1p.152.h.jpg', 'https://www.oiseaux.net/photos/frederic.pelsy/images/bondree.orientale.frpe.3p.152.h.jpg']",https://www.oiseaux.net/chant/stanislas.wroza/bondree.orientale.484998.mp3
Pintade de Numidie,Numida meleagris,63 cm,95 à 100 cm.,Galliformes,Numididés,,"['https://www.oiseaux.net/photos/robert.balestra/images/id/pintade.de.numidie.roba.7p.152.h.jpg', 'https://www.oiseaux.net/photos/thierry.becret/images/id/pintade.de.numidie.thbe.1p.152.h.jpg', 'https://www.oiseaux.net/photos/xavier.michel/images/pintade.de.numidie.xami.4p.152.h.jpg', 'https://www.oiseaux.net/photos/antoine.coulondre/images/pintade.de.numidie.anco.1p.152.h.jpg', 'https://www.oiseaux.net/photos/antoine.coulondre/images/pintade.de.numidie.anco.4p.152.h.jpg', 'https://www.oiseaux.net/photos/antoine.coulondre/images/pintade.de.numidie.anco.5p.152.h.jpg', 'https://www.oiseaux.net/photos/gilles.touratier/images/pintade.de.numidie.gito.1p.152.h.jpg', 'https://www.oiseaux.net/photos/dominique.goumand/images/pintade.de.numidie.dogo.1p.152.h.jpg', 'https://www.oiseaux.net/photos/xavier.michel/images/pintade.de.numidie.xami.3p.152.h.jpg', 'https://www.oiseaux.net/photos/dominique.goumand/images/pintade.de.numidie.dogo.2p.152.h.jpg', 'https://www.oiseaux.net/photos/olivier.morlot/images/pintade.de.numidie.olmo.1p.152.h.jpg', 'https://www.oiseaux.net/photos/olivier.morlot/images/pintade.de.numidie.olmo.2p.152.h.jpg', 'https://www.oiseaux.net/photos/dietmar.petrausch/images/pintade.de.numidie.dpet.1p.152.h.jpg', 'https://www.oiseaux.net/photos/florent.lecourtier/images/pintade.de.numidie.flle.1p.152.h.jpg', 'https://www.oiseaux.net/photos/stanislas.gallen/images/pintade.de.numidie.stan.1p.152.h.jpg', 'https://www.oiseaux.net/photos/loic.epelboin/images/pintade.de.numidie.loep.2p.152.h.jpg', 'https://www.oiseaux.net/photos/herve.michel/images/pintade.de.numidie.hemi.13p.152.h.jpg']",https://www.oiseaux.net/chant/fernand.deroussen/pintade.de.numidie.142967.mp3
Goéland dominicain,Larus dominicanus,65 cm,128 à 142 cm.,Charadriiformes,Laridés,https://www.oiseaux.net/maps/images/goeland.dominicain.200.w.jpg,"['https://www.oiseaux.net/photos/jean-michel.fenerole/images/id/goeland.dominicain.jefe.2p.152.h.jpg', 'https://www.oiseaux.net/photos/didier.perrocheau/images/id/goeland.dominicain.dipe.6p.152.h.jpg', 'https://www.oiseaux.net/photos/didier.buysse/images/id/goeland.dominicain.dibu.8p.152.h.jpg', 'https://www.oiseaux.net/photos/lars.petersson/images/id/goeland.dominicain.lape.6p.152.h.jpg', 'https://www.oiseaux.net/photos/lars.petersson/images/id/goeland.dominicain.lape.8p.152.h.jpg', 'https://www.oiseaux.net/photos/jean-michel.fenerole/images/id/goeland.dominicain.jefe.1p.152.h.jpg', 'https://www.oiseaux.net/photos/cyril.vathelet/images/id/goeland.dominicain.cyva.1p.152.h.jpg', 'https://www.oiseaux.net/photos/jacques.buvat/images/id/goeland.dominicain.jabu.2p.152.h.jpg', 'https://www.oiseaux.net/photos/patrick.l.hoir/images/id/goeland.dominicain.palh.2p.152.h.jpg', 'https://www.oiseaux.net/photos/patrick.ingremeau/images/id/goeland.dominicain.pain.7p.152.h.jpg', 'https://www.oiseaux.net/photos/frederic.pelsy/images/id/goeland.dominicain.frpe.1p.152.h.jpg', 'https://www.oiseaux.net/photos/stephane.merle/images/id/goeland.dominicain.stme.3p.152.h.jpg', 'https://www.oiseaux.net/photos/frederic.pelsy/images/id/goeland.dominicain.frpe.3p.152.h.jpg', 'https://www.oiseaux.net/photos/frederic.pelsy/images/id/goeland.dominicain.frpe.2p.152.h.jpg', 'https://www.oiseaux.net/photos/sylvain.uriot/images/goeland.dominicain.syur.2p.152.h.jpg', 'https://www.oiseaux.net/photos/claude.daussin/images/goeland.dominicain.clda.1p.152.h.jpg', 'https://www.oiseaux.net/photos/claude.daussin/images/goeland.dominicain.clda.2p.152.h.jpg']",https://www.oiseaux.net/chant/franck.bruneliere/goeland.dominicain.1.mp3
Pétrel soyeux,Pterodroma mollis,34 cm,83 à 95 cm.,Procellariiformes,Procellariidés,,"['https://www.oiseaux.net/photos/dora.zarzavatsaki/images/id/petrel.soyeux.doza.1p.152.h.jpg', 'https://www.oiseaux.net/photos/quentin.guibert/images/petrel.soyeux.qugu.5p.152.h.jpg', 'https://www.oiseaux.net/photos/quentin.guibert/images/petrel.soyeux.qugu.4p.152.h.jpg', 'https://www.oiseaux.net/photos/quentin.guibert/images/petrel.soyeux.qugu.3p.152.h.jpg', 'https://www.oiseaux.net/photos/quentin.guibert/images/petrel.soyeux.qugu.2p.152.h.jpg', 'https://www.oiseaux.net/photos/quentin.guibert/images/petrel.soyeux.qugu.1p.152.h.jpg', 'https://www.oiseaux.net/photos/quentin.guibert/images/petrel.soyeux.qugu.6p.152.h.jpg', 'https://www.oiseaux.net/photos/quentin.guibert/images/petrel.soyeux.qugu.7p.152.h.jpg', 'https://www.oiseaux.net/photos/quentin.guibert/images/petrel.soyeux.qugu.8p.152.h.jpg', 'https://www.oiseaux.net/photos/vincent.perrin/images/petrel.soyeux.vipe.1p.152.h.jpg', 'https://www.oiseaux.net/photos/vincent.perrin/images/petrel.soyeux.vipe.2p.152.h.jpg', 'https://www.oiseaux.net/photos/quentin.guibert/images/petrel.soyeux.qugu.10p.152.h.jpg']",
Plongeon du Pacifique,Gavia pacifica,cm,-,Gaviiformes,Gaviidés,,"['https://www.oiseaux.net/photos/samuel.marlin/images/plongeon.du.pacifique.sama.1p.152.h.jpg', 'https://www.oiseaux.net/photos/aurelien.audevard/images/plongeon.du.pacifique.auau.6p.152.h.jpg', 'https://www.oiseaux.net/photos/aurelien.audevard/images/plongeon.du.pacifique.auau.5p.152.h.jpg', 'https://www.oiseaux.net/photos/aurelien.audevard/images/plongeon.du.pacifique.auau.4p.152.h.jpg', 'https://www.oiseaux.net/photos/aurelien.audevard/images/plongeon.du.pacifique.auau.1p.152.h.jpg', 'https://www.oiseaux.net/photos/aurelien.audevard/images/plongeon.du.pacifique.auau.2p.152.h.jpg', 'https://www.oiseaux.net/photos/aurelien.audevard/images/plongeon.du.pacifique.auau.3p.152.h.jpg', 'https://www.oiseaux.net/photos/lars.petersson/images/plongeon.du.pacifique.lape.5p.152.h.jpg', 'https://www.oiseaux.net/photos/lars.petersson/images/plongeon.du.pacifique.lape.4p.152.h.jpg', 'https://www.oiseaux.net/photos/lars.petersson/images/plongeon.du.pacifique.lape.2p.152.h.jpg']",
Milan à bec jaune,Milvus aegyptius,cm,-,Accipitriformes,Accipitridés,,"['https://www.oiseaux.net/photos/gerard.vigo/images/id/milan.a.bec.jaune.gevi.1p.152.h.jpg', 'https://www.oiseaux.net/photos/michel.et.fabienne.vernaudon/images/id/milan.a.bec.jaune.mver.10p.152.h.jpg', 'https://www.oiseaux.net/photos/thierry.helsens/images/id/milan.a.bec.jaune.thhe.5p.152.h.jpg', 'https://www.oiseaux.net/photos/pascal.bernardin/images/id/milan.a.bec.jaune.pber.1p.152.h.jpg', 'https://www.oiseaux.net/photos/catherine.et.bernard.lanneluc/images/id/milan.a.bec.jaune.cala.1p.152.h.jpg', 'https://www.oiseaux.net/photos/stephane.merle/images/id/milan.a.bec.jaune.stme.3p.152.h.jpg', 'https://www.oiseaux.net/photos/yann.libessart/images/id/milan.a.bec.jaune.yali.5p.152.h.jpg', 'https://www.oiseaux.net/photos/jacques.buvat/images/id/milan.a.bec.jaune.jabu.6p.152.h.jpg', 'https://www.oiseaux.net/photos/dominique.goumand/images/id/milan.a.bec.jaune.dogo.1p.152.h.jpg', 'https://www.oiseaux.net/photos/michel.et.fabienne.vernaudon/images/id/milan.a.bec.jaune.mver.3p.152.h.jpg', 'https://www.oiseaux.net/photos/vincent.perrin/images/id/milan.a.bec.jaune.vipe.2p.152.h.jpg', 'https://www.oiseaux.net/photos/vincent.perrin/images/id/milan.a.bec.jaune.vipe.1p.152.h.jpg', 'https://www.oiseaux.net/photos/ariane.privat/images/id/milan.a.bec.jaune.arpr.4p.152.h.jpg', 'https://www.oiseaux.net/photos/eric.brunet/images/id/milan.a.bec.jaune.erbr.1p.152.h.jpg', 'https://www.oiseaux.net/photos/claude.daussin/images/id/milan.a.bec.jaune.clda.1p.152.h.jpg', 'https://www.oiseaux.net/photos/dora.zarzavatsaki/images/id/milan.a.bec.jaune.doza.2p.152.h.jpg', 'https://www.oiseaux.net/photos/frederic.pelsy/images/id/milan.a.bec.jaune.frpe.2p.152.h.jpg']",
Agrobate roux,Cercotrichas galactotes,15 cm,22 à 27 cm.,Passériformes,Muscicapidés,https://www.oiseaux.net/maps/images/agrobate.roux.200.w.jpg,"['https://www.oiseaux.net/photos/robert.balestra/images/id/agrobate.roux.roba.4p.152.h.jpg', 'https://www.oiseaux.net/photos/gerard.vigo/images/id/agrobate.roux.gevi.1p.152.h.jpg', 'https://www.oiseaux.net/photos/aurelien.audevard/images/agrobate.roux.auau.5p.152.h.jpg', 'https://www.oiseaux.net/photos/didier.bats/images/agrobate.roux.diba.1p.152.h.jpg', 'https://www.oiseaux.net/photos/antoine.coulondre/images/agrobate.roux.anco.1p.152.h.jpg', 'https://www.oiseaux.net/photos/antoine.coulondre/images/agrobate.roux.anco.2p.152.h.jpg', 'https://www.oiseaux.net/photos/antoine.coulondre/images/agrobate.roux.anco.3p.152.h.jpg', 'https://www.oiseaux.net/photos/antoine.coulondre/images/agrobate.roux.anco.5p.152.h.jpg', 'https://www.oiseaux.net/photos/antoine.coulondre/images/agrobate.roux.anco.6p.152.h.jpg', 'https://www.oiseaux.net/photos/stanislas.gallen/images/agrobate.roux.stan.1p.152.h.jpg', 'https://www.oiseaux.net/photos/marc.fasol/images/agrobate.roux.mafa.1p.152.h.jpg', 'https://www.oiseaux.net/photos/marc.fasol/images/agrobate.roux.mafa.3p.152.h.jpg', 'https://www.oiseaux.net/photos/marc.fasol/images/agrobate.roux.mafa.5p.152.h.jpg', 'https://www.oiseaux.net/photos/marc.fasol/images/agrobate.roux.mafa.4p.152.h.jpg', 'https://www.oiseaux.net/photos/marc.fasol/images/agrobate.roux.mafa.2p.152.h.jpg']",https://www.oiseaux.net/chant/fernand.deroussen/agrobate.roux.134580.mp3
